               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.030565,             0.01606,                   0,              5.6006,           0.0067697,                 0.4,           0.0032637,          0.00055986,            0.030102,            0.018489,                   0,              6.1823,           0.0028046,           0.0028046,           0.0093046
                  78,            0.032767,            0.017703,                   0,              6.2504,           0.0067697,                 0.4,           0.0032637,          0.00055986,            0.030102,            0.018489,                   0,              6.1823,           0.0027633,           0.0027633,           0.0080633
                  79,            0.037975,            0.016327,                   0,              6.5319,           0.0067697,                 0.4,           0.0032637,          0.00055986,            0.030102,            0.018489,                   0,              6.1823,            0.002723,            0.002723,            0.006823
                  80,            0.031361,            0.016645,                   0,              5.4086,           0.0067697,                 0.4,           0.0032637,          0.00055986,            0.030102,            0.018489,                   0,              6.1823,           0.0026838,           0.0026838,           0.0055838
                  81,            0.024103,            0.015526,                   0,              4.4937,           0.0073466,                 0.4,           0.0043458,          0.00058624,            0.028177,            0.016457,                   0,              6.2498,           0.0026459,           0.0026459,           0.0043459
                  82,            0.029552,            0.015111,                   0,              5.8144,           0.0073466,                 0.4,           0.0043458,          0.00058624,            0.028177,            0.016457,                   0,              6.2498,           0.0026096,           0.0026096,           0.0031096
                  83,            0.026956,             0.01585,                   0,              5.4122,           0.0073466,                 0.4,           0.0043458,          0.00058624,            0.028177,            0.016457,                   0,              6.2498,            0.002557,            0.002557,            0.002557
                  84,            0.030014,            0.016506,                   0,              5.6186,           0.0073466,                 0.4,           0.0043458,          0.00058624,            0.028177,            0.016457,                   0,              6.2498,            0.002557,            0.002557,            0.002557
                  85,            0.036749,            0.016383,                   0,               6.856,           0.0073466,                 0.4,           0.0043458,          0.00058624,            0.028177,            0.016457,                   0,              6.2498,           0.0024948,           0.0024948,           0.0024948
                  86,            0.035111,            0.017101,                   0,               6.246,           0.0073466,                 0.4,           0.0043458,          0.00058624,            0.028177,            0.016457,                   0,              6.2498,            0.002436,            0.002436,            0.002436
                  87,            0.023531,            0.014486,                   0,               4.778,            0.004229,                 0.2,           0.0020829,          0.00020829,            0.027785,            0.015745,                   0,              6.0158,           0.0023807,           0.0023807,           0.0023807
                  88,            0.030616,             0.01545,                   0,              4.9665,            0.004229,                 0.2,           0.0020829,          0.00020829,            0.027785,            0.015745,                   0,              6.0158,            0.002329,            0.002329,            0.002329
                  89,            0.028551,            0.014363,                   0,              4.8996,            0.004229,                 0.2,           0.0020829,          0.00020829,            0.027785,            0.015745,                   0,              6.0158,           0.0022809,           0.0022809,           0.0022809
